CÓDIGO;NOMBRE DEL ALIMENTO;"Energía
<ENERC>";"Energía
<ENERC>";"Agua
<WATER>";"Proteínas
<PROCNT>";"Grasa total
<FAT>";"Carbohidratos totales
<CHOCDF>";"Carbohidratos disponibles
<CHOAVL>";"Fibra dietaria
<FIBTG>";"Cenizas
<ASH>";"Calcio
<CA>";"Fósforo
<P>";"Zinc
<ZN>";"Hierro
<FE>";"Sodio
<NA>";"Potasio
<K>";"B caroteno equivalentes totales
<CARTBQ>";"Vitamina A equivalentes totales
<VITA>";"Tiamina
<THIA>";"Riboflavina
<RIBF>";"Niacina
<NIA>";"Vitamina C
<VITC>";Ácido fólico
;;kcal;kJ;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;µg;µg;mg;mg;mg;mg;µg
A;Pan mollete de Chiclayo;284;1189;32.5;10.2;3.8;52.3;0;0;1.3;0;0;0;5.62;0;0;0;0;0.88;0.22;3.7;0;244
A;"Pan mollete, ""chico""de Huaraz";364;1523;25.5;9.6;16.3;47;44.7;2.3;1.6;0;0;0;4.81;0;0;0;0;0.41;0.34;4.09;0;0
A;Pan torta de Cajamarca;355;1487;19.4;9.4;8;61.5;0;0;1.7;0;0;0;6.31;0;0;0;0;1.44;0.45;6.26;0;159
A;Pan 3 granos (quinua, cañihua y kiwicha) de Lima;219;914;46.5;8.6;2.5;40.5;0;0;2;0;0;0;3.72;0;0;0;0;0.47;0.2;3.56;0;197
A;Pan vico;343;1437;24.3;9.3;9.1;56.1;0;0;1.3;0;0;0;5.16;0;0;0;0;0;0.42;0;0;0
A;Pan vico de Iquitos;333;1394;19.3;11.6;4.1;62.4;0;0;2.5;0;0;0;5.88;0;0;0;0;0.7;0.46;4.92;0;230
A;Pasta con huevo sin fortificar, cruda*;375;1567;9;14.2;4.4;71.3;68;3.3;1.1;35;241;1.92;1.9;21;244;0;17;0.17;0.09;2.1;0;0
A;Pasta con huevo fortificada, cruda*;375;1567;9;14.2;4.4;71.3;68;3.3;1.1;35;241;1.92;4.01;21;244;0;17;1.13;0.43;8.39;0;201
A;Pasta fortificada, cruda*;360;1506;9.9;13;1.5;74.7;71.5;3.2;0.9;18;150;1.26;3.52;5;162;0;0;0.89;0.4;7.18;0;219
A;Pasta sin fortificar, cruda*;360;1506;9.9;13;1.5;74.7;71.5;3.2;0.9;18;150;1.26;1.3;5;162;0;0;0.09;0.06;1.7;0;0
A;Quinua, variedad real;331;1385;12.9;14.2;5.1;65.9;56.7;9.1;2;0;0;2.68;4;30;776;0;0;0.28;0.3;0;0;0
A;Quinua, variedad Ayara (Puno);276;1156;12.3;14;6.3;62.6;41.1;21.5;4.8;0;0;0;6.25;30;776;0;0;0;0;0;0;0
A;Quinua, variedad blanca de Juli (Puno);347;1453;10.2;11.6;4.8;70.6;63.7;6.9;2.8;0;0;0;4.32;30;776;0;0;0;0;0;0;0
